hf.14	hf.19	hf.21	hf.24	hf.26	hf.27	hf.8	hf.30	hf.32	hf.48
P62875	Q5T0H8	D3YTB1	H3BSJ9		P62249		H0Y9R4	P46782	I3L401
P62701	Q08431	A0A096LP55	F8WEI7		H0Y4J6		K7EQM4	J3QQT9	J3QTR3
J3QQ67	Q5HYJ1	Q16446	P01034		P56381		J3QQ67	H0YE51	P62241
Q9Y6H1	J3KRK2	K7EIT4	H0YHX9		P46782		P10606	O00151	E9PH38
P04632	F5H747	P17568	P10606		Q5JPU3		P04632	A8K7Q2	H0YFA4
H3BU31	P51970	H0Y4J6	M0R248		Q5HYJ1		D6R9C3	I3L401	E9PJU0
H3BU78	H3BSJ9	H0YE51	H0YFA4		H3BU78		P17568	E9PH38	H9ME53
Q5HYJ1	P00441	A6NL76	U3KQ52		H0YF23		A8MUI2	Q9H3K2	P40429
M0QY84	M0QY84	H0YE72	H0YHD8		J3KTJ3		J3KTJ3	P04632	O43676
P68371	P60520	O60739	H0Y9I4		P51970		A0A0A0MTS2	H0YLP6	D6RB09
P56381	H0YHX9	J3KRK2	P62280		P62241		A8MX12	A8MXZ9	H0YAS8
D6RIE3	G3V1V8	H0YLP6	J3KSR4		I3L401		D6R9H7	D6RIE3	H3BR70
P07919	P16188	M0R1M5	J3JS69		O14561		E9PH38	H0YHD8	Q5JR95
H0Y9R4	P13746	U3KQ52	P56381		K7EQM4		P83731	Q9Y6H1	E9PL09
H3BR70	P04439	Q13011	F8WBT9		P17568		Q13011	K7EM18	A7MAP4
H0Y4J6	K7EM18	P68371	G3XAN0		H3BU31		O60739	H0Y4J6	P62906
P83731	P83731	H0YF23	P17568		H3BUK8		P56381	P53597	M0R3I5
Q5T0H8	O43676	O00151	D6R9C3		G3XAN0		P46782	J3KMX5	A0A096LP55
P53597	F8WDN3		A0A0A0MTS2		P10606		P62875	H0YAS8	H0Y9R4
J3KMX5	Q5JR95		E9PL09		A0A096LP55		A0A087X2B5	P62280	H7C482
H0YE51	H0Y9R4		H3BU78		H7C4C5		J3KSR4	Q5T0H8	F8W029
J3KSR4	Q9Y5U8		F8VX62		H0YE72		P62241	B8ZZ51	P04632
F2Z3P9	P01023		H0YE72		A8MUI2		A7MAP4	F2Z3P9	H3BU31
H0YLP6	P62280		Q9Y6H1		J3KSR4		Q5HYJ1	P62906	Q9UJY1
M0R248	H9ME53		P07919		H0YE51		M0R248		J3KMX5
A0A0C4DGG7	O14561		H7BYD9		D6R9C3		H9ME53		P62280
M0QX67	Q31612		P04632		H9ME53		E9PH64		A8MXZ9
J3KTJ3	Q31610		K7ERF1		J3QRC4		G5E9R0		M0R0I6
H0YE72	P01889		E9PH38		O43676		E7EWH9		H0YE51
A0A075B6E2	P30486		H9ME53		P83731		P08670		P51970
H0YHX9	P30480		A0A087X2B5		Q12988		H0YE51		Q5JPU3
U3KQ52	Q29836		F8W029		E9PCB3		P53597		A0A0A0MR13
A0A0A0MS51	E9PCB3		F2Z3P9		E9PH64		F8WEI7		P10606
H7BXY5	P40429		P27797		Q8WVH6		J3KMX5		M0QX67
J3QRC4	P62249		J3QTR3		Q9BW72		H0YE72		G5E9R0
E5RJR5	M0R1M5		P40429		F8WBR5		F8WBR5		P0DMP1
K7ERF1	E5RJR5		D6RB09		A0A087X2B5		P62906		J3KSR4
	J3KMX5		I3L401		J3QQT9		F8VX62		O00151
	Q5JPU3		Q5JPU3		P08574		E9PNE6		Q9Y6H1
	P08123		Q5HYJ1		P06858		K7ERF1		H7C068
	F5H6I0		A0A0C4DH86		J3KRK2		Q9Y6H1		P00441
	H0YE72		B8ZZ51		R4GMR5		O14957		O00217
	K7ERF1		H0YE51		M0R248		H0Y4J6		
	Q9Y6M9		Q6NXQ3		E5RJR5		H0YAS8		
	P18669		D6R9H7		P62875		H0Y9I4		
	F8VYN4		E9PH64		F8WEI7		F8WDN3		
	H3BR70		H7C0K8		P60520		Q12988		
	H7BXY5		P68371		P68371		I3L401		
	M0QZ43		Q31612		J3KMX5		F8WBT9		
	P17081		Q31610		J3QQY4		J3QTR3		
	O60739		P01889		Q08431		H7BYD9		
	J3QQT9		P30486				H3BR70		
	A6NL76		P30480				E9PL09		
	M0R3I5		Q29836				P68371		
	F8W029		E5RJR5				G3XAN0		
	E9PL09		P62829						
	P02452		Q5JR95						
	Q5H9A7								
	P20674								
	H0YE51								
